Date,Plot,Depth,Ring,CO2 Treatment,Nitrogen Treatment,CountOfSpecies,CountOfGroup,Experiment,monospecies,Monogroup,Bulk Density (g/cm^3)
7/7/2003,1,20-40,1,Cenrich,Namb,4,2,M,,,1.479897252
7/7/2003,1,40-60,1,Cenrich,Namb,4,2,M,,,1.551437543
7/7/2003,2,40-60,1,Cenrich,Namb,1,1,M,Bouteloua gracilis,C-4,1.653320784
7/7/2003,2,20-40,1,Cenrich,Namb,1,1,M,Bouteloua gracilis,C-4,1.80552892
7/7/2003,3,20-40,1,Cenrich,Nenrich,4,1,S,,Legume,1.717953737
7/7/2003,3,40-60,1,Cenrich,Nenrich,4,1,S,,Legume,1.165860046
7/7/2003,4,40-60,1,Cenrich,Namb,4,3,M,,,1.612123445
7/7/2003,4,20-40,1,Cenrich,Namb,4,3,M,,,1.770005465
7/7/2003,5,20-40,1,Cenrich,Namb,1,1,M,Asclepias tuberosa,Forb,1.740155896
7/7/2003,5,40-60,1,Cenrich,Namb,1,1,M,Asclepias tuberosa,Forb,1.58794776
7/7/2003,6,20-40,1,Cenrich,Namb,4,1,S,,C-4,1.547490492
7/7/2003,6,40-60,1,Cenrich,Namb,4,1,S,,C-4,1.62174438
7/7/2003,7,20-40,1,Cenrich,Namb,9,4,M,,,1.591894811
7/7/2003,7,40-60,1,Cenrich,Namb,9,4,M,,,1.675029562
7/7/2003,8,40-60,1,Cenrich,Nenrich,1,1,M,Schizachyrium scoparium,C-4,1.628651719
7/7/2003,8,20-40,1,Cenrich,Nenrich,1,1,M,Schizachyrium scoparium,C-4,1.789247336
7/7/2003,9,20-40,1,Cenrich,Namb,4,1,S,,C-3,1.65924136
7/7/2003,9,40-60,1,Cenrich,Namb,4,1,S,,C-3,1.6027492
7/7/2003,10,40-60,1,Cenrich,Nenrich,4,3,M,,,1.701918844
7/7/2003,10,20-40,1,Cenrich,Nenrich,4,3,M,,,1.787027121
7/7/2003,11,20-40,1,Cenrich,Nenrich,9,4,M,,,1.751503666
7/7/2003,11,40-60,1,Cenrich,Nenrich,9,4,M,,,1.671575893
7/7/2003,12,20-40,1,Cenrich,Nenrich,9,4,M,,,0.891293344
7/7/2003,12,40-60,1,Cenrich,Nenrich,9,4,M,,,1.603982653
7/7/2003,13,40-60,1,Cenrich,Nenrich,16,4,M,,,1.596581933
7/7/2003,13,20-40,1,Cenrich,Nenrich,16,4,M,,,1.356551924
7/7/2003,14,20-40,1,Cenrich,Namb,4,4,S,,,1.772472372
7/7/2003,14,40-60,1,Cenrich,Namb,4,4,S,,,1.463122288
7/7/2003,15,40-60,1,Cenrich,Namb,4,3,M,,,1.717213665
7/7/2003,15,20-40,1,Cenrich,Namb,4,3,M,,,1.634572294
7/7/2003,16,20-40,1,Cenrich,Namb,9,4,M,,,1.627664956
7/7/2003,16,40-60,1,Cenrich,Namb,9,4,M,,,1.487051281
7/7/2003,17,20-40,1,Cenrich,Namb,9,4,M,,,1.459915309
7/7/2003,17,40-60,1,Cenrich,Namb,9,4,M,,,1.616317186
7/7/2003,18,40-60,1,Cenrich,Nenrich,1,1,M,Amorpha canescens,Legume,1.508266678
7/7/2003,18,20-40,1,Cenrich,Nenrich,1,1,M,Amorpha canescens,Legume,1.410083796
7/7/2003,19,20-40,1,Cenrich,Namb,4,3,M,,,1.489271497
7/7/2003,19,40-60,1,Cenrich,Namb,4,3,M,,,1.669355677
7/7/2003,20,40-60,1,Cenrich,Nenrich,4,1,S,,Forb,1.490011569
7/7/2003,20,20-40,1,Cenrich,Nenrich,4,1,S,,Forb,1.796154675
7/7/2003,21,40-60,1,Cenrich,Nenrich,9,4,M,,,1.670835821
7/7/2003,21,20-40,1,Cenrich,Nenrich,9,4,M,,,1.63309215
7/7/2003,22,20-40,1,Cenrich,Nenrich,1,1,M,Bromus inermis,C-3,1.763591508
7/7/2003,22,40-60,1,Cenrich,Nenrich,1,1,M,Bromus inermis,C-3,1.671082512
7/7/2003,23,40-60,1,Cenrich,Namb,16,4,M,,,1.612370135
7/7/2003,23,20-40,1,Cenrich,Namb,16,4,M,,,1.640739561
7/7/2003,24,40-60,1,Cenrich,Namb,1,1,M,Agropyron repens,C-3,1.632105388
7/7/2003,24,20-40,1,Cenrich,Namb,1,1,M,Agropyron repens,C-3,1.709812945
7/7/2003,25,40-60,1,Cenrich,Nenrich,0,1,M,,,1.55415114
7/7/2003,25,20-40,1,Cenrich,Nenrich,0,1,M,,,1.776419422
7/7/2003,26,40-60,1,Cenrich,Namb,9,4,M,,,1.774445897
7/7/2003,26,20-40,1,Cenrich,Namb,9,4,M,,,1.792947696
7/7/2003,27,20-40,1,Cenrich,Namb,4,1,S,,Forb,1.707099348
7/7/2003,27,40-60,1,Cenrich,Namb,4,1,S,,Forb,1.578080134
7/7/2003,28,20-40,1,Cenrich,Namb,4,2,M,,,1.706112585
7/7/2003,28,40-60,1,Cenrich,Namb,4,2,M,,,1.629391791
7/7/2003,29,20-40,1,Cenrich,Nenrich,4,2,M,,,1.58054704
7/7/2003,29,40-60,1,Cenrich,Nenrich,4,2,M,,,1.734975392
7/7/2003,30,20-40,1,Cenrich,Nenrich,16,4,M,,,1.69303798
7/7/2003,30,40-60,1,Cenrich,Nenrich,16,4,M,,,1.582767256
7/7/2003,31,40-60,1,Cenrich,Nenrich,1,1,M,Asclepias tuberosa,Forb,1.627418265
7/7/2003,31,20-40,1,Cenrich,Nenrich,1,1,M,Asclepias tuberosa,Forb,1.679469994
7/7/2003,32,40-60,1,Cenrich,Nenrich,1,1,M,Bouteloua gracilis,C-4,1.652580712
7/7/2003,32,20-40,1,Cenrich,Nenrich,1,1,M,Bouteloua gracilis,C-4,1.698711865
7/7/2003,33,20-40,1,Cenrich,Namb,16,4,M,,,1.600528984
7/7/2003,33,40-60,1,Cenrich,Namb,16,4,M,,,1.867694965
7/7/2003,34,40-60,1,Cenrich,Nenrich,9,4,M,,,1.677743159
7/7/2003,34,20-40,1,Cenrich,Nenrich,9,4,M,,,1.766551796
7/7/2003,35,20-40,1,Cenrich,Namb,1,1,M,Lespedeza capitata,Legume,1.621250999
7/7/2003,35,40-60,1,Cenrich,Namb,1,1,M,Lespedeza capitata,Legume,1.673796109
7/7/2003,36,20-40,1,Cenrich,Nenrich,1,1,M,Agropyron repens,C-3,1.643206467
7/7/2003,36,40-60,1,Cenrich,Nenrich,1,1,M,Agropyron repens,C-3,1.661214885
7/7/2003,37,40-60,1,Cenrich,Nenrich,1,1,M,Petalostemum villosum,Legume,1.422911711
7/7/2003,37,20-40,1,Cenrich,Nenrich,1,1,M,Petalostemum villosum,Legume,1.64024618
7/7/2003,38,40-60,1,Cenrich,Nenrich,4,2,M,,,1.702905606
7/7/2003,38,20-40,1,Cenrich,Nenrich,4,2,M,,,1.619277474
7/7/2003,39,20-40,1,Cenrich,Namb,1,1,M,Bromus inermis,C-3,1.56895258
7/7/2003,39,40-60,1,Cenrich,Namb,1,1,M,Bromus inermis,C-3,1.553411068
7/7/2003,40,40-60,1,Cenrich,Namb,1,1,M,Poa pratensis,C-3,1.478417108
7/7/2003,40,20-40,1,Cenrich,Namb,1,1,M,Poa pratensis,C-3,1.80947597
7/7/2003,41,40-60,1,Cenrich,Nenrich,4,1,S,,C-3,1.614343661
7/7/2003,41,20-40,1,Cenrich,Nenrich,4,1,S,,C-3,1.458188475
7/7/2003,42,40-60,1,Cenrich,Namb,1,1,M,Solidago rigida,Forb,1.820823741
7/7/2003,42,20-40,1,Cenrich,Namb,1,1,M,Solidago rigida,Forb,1.669602368
7/7/2003,43,20-40,1,Cenrich,Nenrich,16,4,M,,,1.402929767
7/7/2003,43,40-60,1,Cenrich,Nenrich,16,4,M,,,1.637779273
7/7/2003,44,20-40,1,Cenrich,Nenrich,4,3,M,,,1.421678257
7/7/2003,44,40-60,1,Cenrich,Nenrich,4,3,M,,,1.821563813
7/7/2003,45,40-60,1,Cenrich,Namb,16,4,M,,,1.593868336
7/7/2003,45,20-40,1,Cenrich,Namb,16,4,M,,,1.84327259
7/7/2003,46,40-60,1,Cenrich,Namb,1,1,M,Anemone cylindrica,Forb,1.605216106
7/7/2003,46,20-40,1,Cenrich,Namb,1,1,M,Anemone cylindrica,Forb,1.802815323
7/7/2003,47,40-60,1,Cenrich,Nenrich,1,1,M,Koeleria cristata,C-3,1.655047619
7/7/2003,47,20-40,1,Cenrich,Nenrich,1,1,M,Koeleria cristata,C-3,1.717953737
7/7/2003,48,40-60,1,Cenrich,Namb,9,4,M,,,1.34767106
7/7/2003,48,20-40,1,Cenrich,Namb,9,4,M,,,1.440673438
7/7/2003,49,20-40,1,Cenrich,Nenrich,1,1,M,Achillea millefolium,Forb,1.324482138
7/7/2003,49,40-60,1,Cenrich,Nenrich,1,1,M,Achillea millefolium,Forb,1.556124665
7/7/2003,50,40-60,1,Cenrich,Nenrich,9,4,M,,,2.027303821
7/7/2003,50,20-40,1,Cenrich,Nenrich,9,4,M,,,1.291672281
7/7/2003,51,40-60,1,Cenrich,Namb,16,4,M,,,1.423651783
7/7/2003,51,20-40,1,Cenrich,Namb,16,4,M,,,1.775926041
7/7/2003,52,20-40,1,Cenrich,Nenrich,16,4,M,,,1.504319627
7/7/2003,52,40-60,1,Cenrich,Nenrich,16,4,M,,,1.637532582
7/7/2003,53,20-40,1,Cenrich,Nenrich,1,1,M,Solidago rigida,Forb,1.695504887
7/7/2003,53,40-60,1,Cenrich,Nenrich,1,1,M,Solidago rigida,Forb,1.566238982
7/7/2003,54,20-40,1,Cenrich,Nenrich,4,1,S,,C-4,1.592881573
7/7/2003,54,40-60,1,Cenrich,Nenrich,4,1,S,,C-4,1.638025964
7/7/2003,55,40-60,1,Cenrich,Namb,1,1,M,Lupinus perennis,Legume,1.689584311
7/7/2003,55,20-40,1,Cenrich,Namb,1,1,M,Lupinus perennis,Legume,1.606202869
7/7/2003,56,20-40,1,Cenrich,Namb,4,1,S,,Legume,1.211497817
7/7/2003,56,40-60,1,Cenrich,Namb,4,1,S,,Legume,1.79048079
7/7/2003,57,20-40,1,Cenrich,Namb,1,1,M,Schizachyrium scoparium,C-4,1.44906092
7/7/2003,57,40-60,1,Cenrich,Namb,1,1,M,Schizachyrium scoparium,C-4,1.05484925
7/7/2003,58,40-60,1,Cenrich,Nenrich,4,3,M,,,1.669602368
7/7/2003,58,20-40,1,Cenrich,Nenrich,4,3,M,,,1.425625308
7/7/2003,59,20-40,1,Cenrich,Nenrich,4,4,S,,,1.763344817
7/7/2003,59,40-60,1,Cenrich,Nenrich,4,4,S,,,1.727081291
7/7/2003,60,20-40,1,Cenrich,Nenrich,1,1,M,Andropogon gerardi,C-4,1.615823804
7/7/2003,60,40-60,1,Cenrich,Nenrich,1,1,M,Andropogon gerardi,C-4,1.544283514
7/7/2003,61,40-60,1,Cenrich,Namb,0,1,M,,,1.804788848
7/7/2003,61,20-40,1,Cenrich,Namb,0,1,M,,,1.631365316
7/7/2003,62,40-60,2,Camb,Namb,4,4,S,,,1.472003151
7/7/2003,62,20-40,2,Camb,Namb,4,4,S,,,1.650360496
7/7/2003,63,40-60,2,Camb,Namb,4,3,M,,,1.586467616
7/7/2003,63,20-40,2,Camb,Namb,4,3,M,,,1.499879196
7/7/2003,64,20-40,2,Camb,Nenrich,16,4,M,,,1.658007907
7/7/2003,64,40-60,2,Camb,Nenrich,16,4,M,,,1.512460419
7/7/2003,65,40-60,2,Camb,Nenrich,9,4,M,,,1.645673374
7/7/2003,65,20-40,2,Camb,Nenrich,9,4,M,,,1.639012726
7/7/2003,66,20-40,2,Camb,Nenrich,9,4,M,,,1.70413906
7/7/2003,66,40-60,2,Camb,Nenrich,9,4,M,,,1.642466395
7/7/2003,67,40-60,2,Camb,Namb,16,4,M,,,1.470276317
7/7/2003,67,20-40,2,Camb,Namb,16,4,M,,,1.63654582
7/7/2003,68,20-40,2,Camb,Nenrich,1,1,M,Schizachyrium scoparium,C-4,1.536389413
7/7/2003,68,40-60,2,Camb,Nenrich,1,1,M,Schizachyrium scoparium,C-4,1.684403807
7/7/2003,69,20-40,2,Camb,Namb,16,4,M,,,1.623964596
7/7/2003,69,40-60,2,Camb,Namb,16,4,M,,,1.623224524
7/7/2003,70,20-40,2,Camb,Namb,1,1,M,Andropogon gerardi,C-4,1.566238982
7/7/2003,70,40-60,2,Camb,Namb,1,1,M,Andropogon gerardi,C-4,1.585974235
7/7/2003,71,20-40,2,Camb,Nenrich,1,1,M,Sorghastrum nutans,C-4,1.810709424
7/7/2003,71,40-60,2,Camb,Nenrich,1,1,M,Sorghastrum nutans,C-4,1.47891049
7/7/2003,72,20-40,2,Camb,Nenrich,1,1,M,Petalostemum villosum,Legume,1.678483231
7/7/2003,72,40-60,2,Camb,Nenrich,1,1,M,Petalostemum villosum,Legume,1.564018766
7/7/2003,73,40-60,2,Camb,Nenrich,0,1,M,,,1.709319564
7/7/2003,73,20-40,2,Camb,Nenrich,0,1,M,,,1.860787627
7/7/2003,74,20-40,2,Camb,Nenrich,4,1,S,,Legume,1.6027492
7/7/2003,74,40-60,2,Camb,Nenrich,4,1,S,,Legume,1.86572144
7/7/2003,75,20-40,2,Camb,Nenrich,4,3,M,,,1.573639702
7/7/2003,75,40-60,2,Camb,Nenrich,4,3,M,,,1.735962154
7/7/2003,76,20-40,2,Camb,Nenrich,4,1,S,,C-4,1.562045241
7/7/2003,76,40-60,2,Camb,Nenrich,4,1,S,,C-4,1.699451937
7/7/2003,77,20-40,2,Camb,Namb,1,1,M,Anemone cylindrica,Forb,1.680703447
7/7/2003,77,40-60,2,Camb,Namb,1,1,M,Anemone cylindrica,Forb,1.725354456
7/7/2003,78,20-40,2,Camb,Namb,4,2,M,,,1.517640923
7/7/2003,78,40-60,2,Camb,Namb,4,2,M,,,1.735715464
7/7/2003,79,20-40,2,Camb,Nenrich,4,3,M,,,1.72313424
7/7/2003,79,40-60,2,Camb,Nenrich,4,3,M,,,1.573393011
7/7/2003,80,40-60,2,Camb,Namb,4,1,S,,C-3,1.495438764
7/7/2003,80,20-40,2,Camb,Namb,4,1,S,,C-3,1.573639702
7/7/2003,81,40-60,2,Camb,Nenrich,1,1,M,Bouteloua gracilis,C-4,1.515174016
7/7/2003,81,20-40,2,Camb,Nenrich,1,1,M,Bouteloua gracilis,C-4,1.646413446
7/7/2003,82,40-60,2,Camb,Namb,4,3,M,,,1.555631284
7/7/2003,82,20-40,2,Camb,Namb,4,3,M,,,1.457941784
7/7/2003,83,20-40,2,Camb,Namb,9,4,M,,,1.688597548
7/7/2003,83,40-60,2,Camb,Namb,9,4,M,,,1.484337684
7/7/2003,84,40-60,2,Camb,Nenrich,9,4,M,,,1.478663799
7/7/2003,84,20-40,2,Camb,Nenrich,9,4,M,,,1.633832222
7/7/2003,85,20-40,2,Camb,Nenrich,4,2,S,,,1.629885172
7/7/2003,85,40-60,2,Camb,Nenrich,4,2,S,,,1.449554302
7/7/2003,86,20-40,2,Camb,Nenrich,4,3,M,,,1.553657759
7/7/2003,86,40-60,2,Camb,Nenrich,4,3,M,,,1.434752862
7/7/2003,87,40-60,2,Camb,Namb,9,4,M,,,1.458188475
7/7/2003,87,20-40,2,Camb,Namb,9,4,M,,,1.37776732
7/7/2003,88,40-60,2,Camb,Nenrich,4,4,S,,,1.466082576
7/7/2003,88,20-40,2,Camb,Nenrich,4,4,S,,,1.59929553
7/7/2003,89,20-40,2,Camb,Namb,4,1,S,,Forb,1.754957335
7/7/2003,89,40-60,2,Camb,Namb,4,1,S,,Forb,1.568212508
7/7/2003,90,20-40,2,Camb,Namb,1,1,M,Sorghastrum nutans,C-4,1.694518124
7/7/2003,90,40-60,2,Camb,Namb,1,1,M,Sorghastrum nutans,C-4,1.630625244
7/7/2003,91,20-40,2,Camb,Nenrich,4,3,M,,,1.787767193
7/7/2003,91,40-60,2,Camb,Nenrich,4,3,M,,,1.650113806
7/7/2003,92,20-40,2,Camb,Namb,9,4,M,,,1.611630063
7/7/2003,92,40-60,2,Camb,Namb,9,4,M,,,1.782833379
7/7/2003,93,20-40,2,Camb,Namb,4,1,S,,Legume,1.436479697
7/7/2003,93,40-60,2,Camb,Namb,4,1,S,,Legume,1.871888707
7/7/2003,94,40-60,2,Camb,Nenrich,1,1,M,Asclepias tuberosa,Forb,1.546010348
7/7/2003,94,20-40,2,Camb,Nenrich,1,1,M,Asclepias tuberosa,Forb,1.650853878
7/7/2003,95,40-60,2,Camb,Nenrich,4,1,S,,Forb,1.610889991
7/7/2003,95,20-40,2,Camb,Nenrich,4,1,S,,Forb,1.770992228
7/7/2003,96,40-60,2,Camb,Nenrich,1,1,M,Lupinus perennis,Legume,1.763591508
7/7/2003,96,20-40,2,Camb,Nenrich,1,1,M,Lupinus perennis,Legume,1.687364095
7/7/2003,97,40-60,2,Camb,Nenrich,9,4,M,,,1.607683013
7/7/2003,97,20-40,2,Camb,Nenrich,9,4,M,,,0.937917879
7/7/2003,98,40-60,2,Camb,Nenrich,4,1,S,,C-3,1.672809346
7/7/2003,98,20-40,2,Camb,Nenrich,4,1,S,,C-3,1.337556743
7/7/2003,99,20-40,2,Camb,Nenrich,1,1,M,Solidago rigida,Forb,1.770005465
7/7/2003,99,40-60,2,Camb,Nenrich,1,1,M,Solidago rigida,Forb,0.993176586
7/7/2003,100,40-60,2,Camb,Namb,1,1,M,Lupinus perennis,Legume,0.783982908
7/7/2003,100,20-40,2,Camb,Namb,1,1,M,Lupinus perennis,Legume,1.766798487
7/7/2003,101,20-40,2,Camb,Nenrich,1,1,M,Andropogon gerardi,C-4,1.892610722
7/7/2003,101,40-60,2,Camb,Nenrich,1,1,M,Andropogon gerardi,C-4,1.741142658
7/7/2003,102,20-40,2,Camb,Namb,1,1,M,Petalostemum villosum,Legume,1.718693808
7/7/2003,102,40-60,2,Camb,Namb,1,1,M,Petalostemum villosum,Legume,1.389608472
7/7/2003,103,20-40,2,Camb,Nenrich,1,1,M,Bromus inermis,C-3,1.447827467
7/7/2003,103,40-60,2,Camb,Nenrich,1,1,M,Bromus inermis,C-3,1.718693808
7/7/2003,104,20-40,2,Camb,Namb,16,4,M,,,1.360745665
7/7/2003,104,40-60,2,Camb,Namb,16,4,M,,,1.528742002
7/7/2003,105,40-60,2,Camb,Namb,4,1,S,,C-4,1.706359276
7/7/2003,105,20-40,2,Camb,Namb,4,1,S,,C-4,1.173260765
7/7/2003,106,40-60,2,Camb,Namb,9,4,M,,,1.583754019
7/7/2003,106,20-40,2,Camb,Namb,9,4,M,,,1.793687768
7/7/2003,107,40-60,2,Camb,Namb,16,4,M,,,1.767785249
7/7/2003,107,20-40,2,Camb,Namb,16,4,M,,,1.749776831
7/7/2003,108,40-60,2,Camb,Nenrich,16,4,M,,,1.309434008
7/7/2003,108,20-40,2,Camb,Nenrich,16,4,M,,,1.735468773
7/7/2003,109,40-60,2,Camb,Namb,1,1,M,Bromus inermis,C-3,1.563278694
7/7/2003,109,20-40,2,Camb,Namb,1,1,M,Bromus inermis,C-3,1.762111364
7/7/2003,110,40-60,2,Camb,Nenrich,16,4,M,,,1.636299129
7/7/2003,110,20-40,2,Camb,Nenrich,16,4,M,,,1.705865894
7/7/2003,111,40-60,2,Camb,Namb,1,1,M,Agropyron repens,C-3,1.591894811
7/7/2003,111,20-40,2,Camb,Namb,1,1,M,Agropyron repens,C-3,1.697478412
7/7/2003,112,40-60,2,Camb,Nenrich,1,1,M,Agropyron repens,C-3,1.564758838
7/7/2003,112,20-40,2,Camb,Nenrich,1,1,M,Agropyron repens,C-3,1.788507264
7/7/2003,113,20-40,2,Camb,Nenrich,1,1,M,Poa pratensis,C-3,1.636052438
7/7/2003,113,40-60,2,Camb,Nenrich,1,1,M,Poa pratensis,C-3,1.523314808
7/7/2003,114,40-60,2,Camb,Nenrich,4,3,M,,,1.41501761
7/7/2003,114,20-40,2,Camb,Nenrich,4,3,M,,,1.660228123
7/7/2003,115,40-60,2,Camb,Namb,1,1,M,Poa pratensis,C-3,1.523314808
7/7/2003,115,20-40,2,Camb,Namb,1,1,M,Poa pratensis,C-3,1.733741939
7/7/2003,116,40-60,2,Camb,Namb,1,1,M,Lespedeza capitata,Legume,1.534909269
7/7/2003,116,20-40,2,Camb,Namb,1,1,M,Lespedeza capitata,Legume,1.633585532
7/7/2003,117,40-60,2,Camb,Nenrich,9,3,M,,,1.750023522
7/7/2003,117,20-40,2,Camb,Nenrich,9,3,M,,,1.684403807
7/7/2003,118,40-60,2,Camb,Nenrich,16,4,M,,,1.563032004
7/7/2003,118,20-40,2,Camb,Nenrich,16,4,M,,,1.498399052
7/7/2003,119,40-60,2,Camb,Namb,9,4,M,,,1.658254597
7/7/2003,119,20-40,2,Camb,Namb,9,4,M,,,1.594855099
7/7/2003,120,40-60,2,Camb,Namb,4,3,M,,,1.612370135
7/7/2003,120,20-40,2,Camb,Namb,4,3,M,,,1.764084889
7/7/2003,121,40-60,2,Camb,Namb,4,2,M,,,1.551190852
7/7/2003,121,20-40,2,Camb,Namb,4,2,M,,,1.66688877
7/7/2003,122,40-60,2,Camb,Namb,1,1,M,Koeleria cristata,C-3,1.443880416
7/7/2003,122,20-40,2,Camb,Namb,1,1,M,Koeleria cristata,C-3,1.713266614
7/7/2003,123,40-60,3,Cenrich,Nenrich,1,1,M,Sorghastrum nutans,C-4,1.330896095
7/7/2003,123,20-40,3,Cenrich,Nenrich,1,1,M,Sorghastrum nutans,C-4,1.652334022
7/7/2003,124,20-40,3,Cenrich,Nenrich,4,1,S,,C-4,1.514433944
7/7/2003,124,40-60,3,Cenrich,Nenrich,4,1,S,,C-4,1.565745601
7/7/2003,125,20-40,3,Cenrich,Nenrich,4,2,M,,,1.362225809
7/7/2003,125,40-60,3,Cenrich,Nenrich,4,2,M,,,1.546997111
7/7/2003,126,20-40,3,Cenrich,Namb,1,1,M,Sorghastrum nutans,C-4,1.509500131
7/7/2003,126,40-60,3,Cenrich,Namb,1,1,M,Sorghastrum nutans,C-4,1.387141565
7/7/2003,127,20-40,3,Cenrich,Nenrich,4,2,M,,,1.432532646
7/7/2003,127,40-60,3,Cenrich,Nenrich,4,2,M,,,1.574873155
7/7/2003,128,40-60,3,Cenrich,Namb,9,4,M,,,1.443880416
7/7/2003,128,20-40,3,Cenrich,Namb,9,4,M,,,1.479650562
7/7/2003,129,40-60,3,Cenrich,Namb,4,3,M,,,1.525535024
7/7/2003,129,20-40,3,Cenrich,Namb,4,3,M,,,1.402189695
7/7/2003,130,40-60,3,Cenrich,Nenrich,16,4,M,,,1.377027248
7/7/2003,130,20-40,3,Cenrich,Nenrich,16,4,M,,,1.481624087
7/7/2003,131,20-40,3,Cenrich,Namb,9,4,M,,,1.512460419
7/7/2003,131,40-60,3,Cenrich,Namb,9,4,M,,,1.544283514
7/7/2003,132,20-40,3,Cenrich,Nenrich,1,1,M,Schizachyrium scoparium,C-4,1.696985031
7/7/2003,132,40-60,3,Cenrich,Nenrich,1,1,M,Schizachyrium scoparium,C-4,1.161912995
7/7/2003,133,20-40,3,Cenrich,Namb,9,4,M,,,1.667628842
7/7/2003,133,40-60,3,Cenrich,Namb,9,4,M,,,1.466329266
7/7/2003,134,20-40,3,Cenrich,Namb,1,1,M,Koeleria cristata,C-3,1.669355677
7/7/2003,134,40-60,3,Cenrich,Namb,1,1,M,Koeleria cristata,C-3,1.615083732
7/7/2003,135,20-40,3,Cenrich,Namb,1,1,M,Lupinus perennis,Legume,1.583507328
7/7/2003,135,40-60,3,Cenrich,Namb,1,1,M,Lupinus perennis,Legume,1.547490492
7/7/2003,136,40-60,3,Cenrich,Nenrich,4,1,S,,Forb,1.62149769
7/7/2003,136,20-40,3,Cenrich,Nenrich,4,1,S,,Forb,1.592141501
7/7/2003,137,20-40,3,Cenrich,Nenrich,1,1,M,Lespedeza capitata,Legume,1.560811788
7/7/2003,137,40-60,3,Cenrich,Nenrich,1,1,M,Lespedeza capitata,Legume,1.30992739
7/7/2003,138,40-60,3,Cenrich,Namb,1,1,M,Poa pratensis,C-3,1.397255882
7/7/2003,138,20-40,3,Cenrich,Namb,1,1,M,Poa pratensis,C-3,1.553411068
7/7/2003,139,20-40,3,Cenrich,Namb,1,1,M,Petalostemum villosum,Legume,1.573886393
7/7/2003,139,40-60,3,Cenrich,Namb,1,1,M,Petalostemum villosum,Legume,1.397502573
7/7/2003,140,40-60,3,Cenrich,Namb,1,1,M,Andropogon gerardi,C-4,1.294385878
7/7/2003,140,20-40,3,Cenrich,Namb,1,1,M,Andropogon gerardi,C-4,1.744596327
7/7/2003,141,40-60,3,Cenrich,Nenrich,1,1,M,Lupinus perennis,Legume,1.615330423
7/7/2003,141,20-40,3,Cenrich,Nenrich,1,1,M,Lupinus perennis,Legume,1.800595107
7/7/2003,142,40-60,3,Cenrich,Nenrich,1,1,M,Anemone cylindrica,Forb,1.620264236
7/7/2003,142,20-40,3,Cenrich,Nenrich,1,1,M,Anemone cylindrica,Forb,1.761371292
7/7/2003,143,40-60,3,Cenrich,Nenrich,1,1,M,Solidago rigida,Forb,1.688844239
7/7/2003,143,20-40,3,Cenrich,Nenrich,1,1,M,Solidago rigida,Forb,1.658501288
7/7/2003,144,20-40,3,Cenrich,Nenrich,1,1,M,Agropyron repens,C-3,1.56155186
7/7/2003,144,40-60,3,Cenrich,Nenrich,1,1,M,Agropyron repens,C-3,1.591401429
7/7/2003,145,20-40,3,Cenrich,Namb,1,1,M,Agropyron repens,C-3,1.378754083
7/7/2003,145,40-60,3,Cenrich,Namb,1,1,M,Agropyron repens,C-3,1.714253377
7/7/2003,146,40-60,3,Cenrich,Namb,1,1,M,Anemone cylindrica,Forb,1.32892257
7/7/2003,146,20-40,3,Cenrich,Namb,1,1,M,Anemone cylindrica,Forb,1.614590351
7/7/2003,147,20-40,3,Cenrich,Namb,16,4,M,,,1.642219705
7/7/2003,147,40-60,3,Cenrich,Namb,16,4,M,,,1.251461704
